time,value
2005-11,4.0
2005-12,-0.5
2006-01,-3.1
2006-02,-3.5
2006-03,-3.8
2006-04,4.5
2006-05,10.1
2006-06,15.9
2006-07,19.8
2006-08,18.4
2006-09,15.2
2006-10,9.6
2006-11,4.4
2006-12,4.3
2007-01,-0.3
2007-02,-3.6
2007-03,3.8
2007-04,7.3
2007-05,10.2
2007-06,15.5
2007-07,16.1
2007-08,17.1
2007-09,11.8
2007-10,7.4
2007-11,2.0
2007-12,1.2
2008-01,1.4
2008-02,2.1
2008-03,0.8
2008-04,6.5
2008-05,10.7
2008-06,15.4
2008-07,17.8
2008-08,15.3
2008-09,11.1
2008-10,8.1
2008-11,2.9
2008-12,0.9
2009-01,-1.9
2009-02,-2.6
2009-03,0.1
2009-04,7.6
2009-05,10.7
2009-06,12.8
2009-07,16.8
2009-08,16.8
2009-09,13.8
2009-10,5.4
2009-11,5.1
2009-12,-2.0
2010-01,-7.8
2010-02,-6.1
2010-03,-1.1
2010-04,5.5
2010-05,10.1
2010-06,14.5
2010-07,20.3
2010-08,16.4
2010-09,11.7
2010-10,6.1
2010-11,-0.1
2010-12,-7.2
2011-01,-2.6
2011-02,-5.1
2011-03,0.3
2011-04,8.3
2011-05,10.6
2011-06,16.3
2011-07,18.5
2011-08,16.7
2011-09,13.7
2011-10,8.2
2011-11,5.6
2011-12,1.9
2012-01,-1.7
2012-02,-3.7
2012-03,3.5
2012-04,4.0
2012-05,10.9
2012-06,12.6
2012-07,16.8
2012-08,16.0
2012-09,11.9
2012-10,6.5
2012-11,4.1
2012-12,-3.6
2013-01,-4.0
2013-02,-2.1
2013-03,-3.2
2013-04,4.0
2013-05,11.9
2013-06,15.3
2013-07,17.4
2013-08,17.1
2013-09,12.7
2013-10,8.5
2013-11,3.9
2013-12,2.8
2014-01,-2.2
2014-02,1.5
2014-03,3.6
2014-04,6.6
2014-05,9.9
2014-06,13.1
2014-07,19.7
2014-08,16.8
2014-09,13.3
2014-10,9.2
2014-11,5.1
2014-12,-0.1
2015-01,0.1
2015-02,0.4
2015-03,3.0
2015-04,6.5
2015-05,8.9
2015-06,13.4
2015-07,16.0
2015-08,17.5
2015-09,13.2
2015-10,7.9
2015-11,4.6
2015-12,3.5
